7.085900902748107910e-01,7.085639238357543945e-01,7.085734009742736816e-01,7.085688114166259766e-01,7.085291743278503418e-01,7.085196375846862793e-01,7.085694074630737305e-01,7.085669636726379395e-01,7.085915207862854004e-01,7.084856033325195312e-01
4.851262271404266357e-01,4.864546060562133789e-01,4.868143796920776367e-01,4.854695498943328857e-01,4.855826199054718018e-01,4.854425787925720215e-01,4.882162809371948242e-01,4.866443872451782227e-01,4.847914278507232666e-01,4.835233986377716064e-01
4.149180948734283447e-01,4.174496531486511230e-01,4.170036613941192627e-01,4.153442680835723877e-01,4.165287315845489502e-01,4.154310524463653564e-01,4.194436669349670410e-01,4.167909920215606689e-01,4.138974547386169434e-01,4.123067855834960938e-01
3.879469037055969238e-01,3.910138607025146484e-01,3.898903131484985352e-01,3.886562287807464600e-01,3.903570771217346191e-01,3.889016211032867432e-01,3.926533460617065430e-01,3.896405994892120361e-01,3.864680230617523193e-01,3.855249583721160889e-01
3.687018454074859619e-01,3.719515800476074219e-01,3.702997565269470215e-01,3.697108924388885498e-01,3.714398741722106934e-01,3.700422346591949463e-01,3.731421530246734619e-01,3.700987100601196289e-01,3.670653700828552246e-01,3.665138185024261475e-01
3.509584963321685791e-01,3.543289005756378174e-01,3.522244989871978760e-01,3.521814942359924316e-01,3.537464141845703125e-01,3.524661958217620850e-01,3.550631105899810791e-01,3.520687222480773926e-01,3.493359088897705078e-01,3.488430082798004150e-01
3.343576490879058838e-01,3.378135561943054199e-01,3.353343009948730469e-01,3.358593285083770752e-01,3.372028768062591553e-01,3.358916044235229492e-01,3.380548357963562012e-01,3.351642787456512451e-01,3.328123688697814941e-01,3.323334753513336182e-01
3.187192380428314209e-01,3.221770524978637695e-01,3.195006549358367920e-01,3.205813169479370117e-01,3.216481506824493408e-01,3.202347457408905029e-01,3.219798207283020020e-01,3.192297816276550293e-01,3.172637820243835449e-01,3.169035911560058594e-01
3.039579987525939941e-01,3.073541820049285889e-01,3.046213388442993164e-01,3.061392009258270264e-01,3.069373369216918945e-01,3.054352402687072754e-01,3.068632781505584717e-01,3.042242825031280518e-01,3.025774955749511719e-01,3.024295270442962646e-01
2.901779711246490479e-01,2.935474216938018799e-01,2.907422184944152832e-01,2.926505506038665771e-01,2.932248413562774658e-01,2.915824055671691895e-01,2.928811013698577881e-01,2.902987003326416016e-01,2.888306379318237305e-01,2.889630794525146484e-01
2.776569724082946777e-01,2.810398042201995850e-01,2.781691849231719971e-01,2.803820967674255371e-01,2.808195948600769043e-01,2.789581418037414551e-01,2.802528440952301025e-01,2.777047753334045410e-01,2.763533592224121094e-01,2.767391800880432129e-01
2.666291892528533936e-01,2.700251042842864990e-01,2.672106623649597168e-01,2.695991098880767822e-01,2.699464559555053711e-01,2.678810954093933105e-01,2.692267894744873047e-01,2.666875123977661133e-01,2.654553055763244629e-01,2.660137712955474854e-01
2.570629715919494629e-01,2.604663074016571045e-01,2.577899694442749023e-01,2.602910101413726807e-01,2.605728507041931152e-01,2.583891153335571289e-01,2.597436904907226562e-01,2.571842074394226074e-01,2.560918629169464111e-01,2.567915022373199463e-01
2.485914528369903564e-01,2.520149946212768555e-01,2.494941651821136475e-01,2.520787715911865234e-01,2.523503899574279785e-01,2.501040697097778320e-01,2.513914108276367188e-01,2.488204091787338257e-01,2.478450685739517212e-01,2.486972361803054810e-01
